state,district,district_code,winner,representative,margin,flip
California,13,CA13,Democratic ,Adam Gray,0.09,TRUE
Iowa,01,IA01,Republican,Mariannette Miller-Meeks,0.19,FALSE
California,45,CA45,Democratic ,Derek Tran,0.21,TRUE
Ohio,09,OH09,Democratic,Marcy Kaptur,0.63,FALSE
Maine,02,ME02,Democratic,Jared Golden,0.69,FALSE
Colorado,08,CO08,Republican ,Gabe Evans,0.73,TRUE
Pennsylvania,07,PA07,Republican ,Ryan Mackenzie,1.01,TRUE
Pennsylvania,10,PA10,Republican,Scott Perry,1.26,FALSE
Pennsylvania,08,PA08,Republican ,Rob Bresnahan,1.62,TRUE
North Carolina,01,NC01,Democratic,Don Davis,1.68,FALSE
Nebraska,02,NE01,Republican,Don Bacon,1.85,FALSE
Ohio,13,OH13,Democratic,Emilia Sykes,2.21,FALSE
New York,19,NY19,Democratic ,Josh Riley,2.22,TRUE
New York,04,NY04,Democratic ,Laura Gillen,2.29,TRUE
Alaska,99,AK-AL,Republican ,Nick Begich III,2.45,TRUE
Arizona,06,AZ06,Republican,Juan Ciscomani,2.51,FALSE
Texas,34,TX34,Democratic,Vicente Gonzalez,2.58,FALSE
Virginia,07,VA07,Democratic,Eugene Vindman,2.65,FALSE
California,27,CA27,Democratic ,George Whitesides,2.66,TRUE
Wisconsin,03,WI03,Republican,Derrick Van Orden,2.73,FALSE
Oregon,05,OR05,Democratic ,Janelle Bynum,2.73,TRUE
Nevada,03,NV03,Democratic,Susie Lee,2.74,FALSE
California,47,CA47,Democratic,Dave Min,2.88,FALSE
California,41,CA41,Republican,Ken Calvert,3.38,FALSE
New York,03,NY03,Democratic,Tom Suozzi,3.58,FALSE
California,09,CA09,Democratic,Josh Harder,3.58,FALSE
Michigan,07,MI07,Republican ,Tom Barrett,3.72,TRUE
Arizona,01,AZ01,Republican,David Schweikert,3.81,FALSE
Iowa,03,IA03,Republican,Zach Nunn,3.83,FALSE
Virginia,02,VA02,Republican,Jen Kiggans,3.85,FALSE
Washington,03,WA03,Democratic,Marie Gluesenkamp Perez,3.89,FALSE
New Mexico,02,NM02,Democratic,Gabe Vasquez,4.16,FALSE
California,49,CA49,Democratic,Mike Levin,4.35,FALSE
Virginia,10,VA10,Democratic,Suhas Subramanyam,4.57,FALSE
Florida,23,FL23,Democratic,Jared Moskowitz,4.89,FALSE
New Jersey,09,NJ09,Democratic,Nellie Pou,4.89,FALSE
Colorado,03,CO03,Republican,Jeff Hurd,4.98,FALSE
California,21,CA21,Democratic,Jim Costa,5.15,FALSE
New Jersey,07,NJ07,Republican,Thomas Kean Jr.,5.40,FALSE
Texas,28,TX28,Democratic,Henry Cuellar,5.63,FALSE
New Hampshire,02,NH02,Democratic,Maggie Goodlander,5.97,FALSE
Washington,04,WA04,Republican,Dan Newhouse,5.97,FALSE
Michigan,10,MI10,Republican,John James,6.13,FALSE
New York,17,NY17,Republican,Mike Lawler,6.31,FALSE
Maryland,06,MD06,Democratic,April McClain Delaney,6.34,FALSE
Michigan,08,MI08,Democratic,Kristen McDonald Rivet,6.64,FALSE
Connecticut,05,CT05,Democratic,Jahana Hayes,6.82,FALSE
California,22,CA22,Republican,David Valadao,6.84,FALSE
Oregon,06,OR06,Democratic,Andrea Salinas,6.86,FALSE
Arizona,04,AZ04,Democratic,Greg Stanton,7.29,FALSE
Nevada,01,NV01,Democratic,Dina Titus,7.51,FALSE
Montana,01,MT01,Republican,Ryan Zinke,7.68,FALSE
Pennsylvania,17,PA17,Democratic,Chris Deluzio,7.75,FALSE
Oregon,04,OR04,Democratic,Val Hoyle,7.78,FALSE
New Hampshire,01,NH01,Democratic,Chris Pappas,8.07,FALSE
Nevada,04,NV04,Democratic,Steven Horsford,8.09,FALSE
Washington,08,WA08,Democratic,Kim Schrier,8.17,FALSE
Illinois,06,IL06,Democratic,Sean Casten,8.42,FALSE
Indiana,01,IN01,Democratic,Frank J. Mrvan,8.49,FALSE
New Jersey,03,NJ03,Democratic,Herb Conaway,8.59,FALSE
Illinois,17,IL17,Democratic,Eric Sorensen,8.85,FALSE
Florida,25,FL25,Democratic,Debbie Wasserman Schultz,8.96,FALSE
Arizona,02,AZ02,Republican,Eli Crane,8.97,FALSE
New York,22,NY22,Democratic ,John Mannion,9.12,TRUE
Ohio,01,OH01,Democratic,Greg Landsman,9.17,FALSE
Alabama,02,AL02,Democratic ,Shomari Figures,9.20,TRUE
Florida,13,FL13,Republican,Anna Paulina Luna,9.65,FALSE
Michigan,03,MI03,Democratic,Hillary Scholten,9.89,FALSE
Florida,22,FL22,Democratic,Lois Frankel,9.91,FALSE